genre,appid
Action,2246340
 Adventure,2246340
 RPG,2246340
Action,1771300
 Adventure,1771300
 RPG,1771300
Simulation,1295660
 Strategy,1295660
RPG,2457220
Action,3241660
 Early Access,3241660
Action,3061810
 Adventure,3061810
 RPG,3061810
RPG,2385530
 Simulation,2385530
 Sports,2385530
Adventure,3244220
 Indie,3244220
Action,1763250
 Indie,1763250
 RPG,1763250
 Early Access,1763250
Adventure,1902960
 Indie,1902960
Action,1239080
 Indie,1239080
 Simulation,1239080
 Strategy,1239080
Action,2073250
 Indie,2073250
 RPG,2073250
Action,2668430
 Adventure,2668430
 RPG,2668430
Action,3178350
 RPG,3178350
Action,2344320
 RPG,2344320
 Early Access,2344320
Action,2525380
 Adventure,2525380
Action,2376580
 RPG,2376580
 Free To Play,2376580
Adventure,2756920
 Casual,2756920
 Indie,2756920
 RPG,2756920
 Simulation,2756920
Adventure,2089600
Simulation,1270580
Action,3300410
 Adventure,3300410
 Casual,3300410
 Indie,3300410
 Free To Play,3300410
Action,2239140
 Indie,2239140
 Free To Play,2239140
RPG,3347400
 Strategy,3347400
 Free To Play,3347400
Casual,3471350
 Indie,3471350
 RPG,3471350
 Simulation,3471350
 Strategy,3471350
 Free To Play,3471350
Action,3483400
 Adventure,3483400
 Indie,3483400
 Massively Multiplayer,3483400
 RPG,3483400
Action,3469800
 Strategy,3469800
Action,2972410
 Adventure,2972410
 Free To Play,2972410
Simulation,3255980
Action,3445910
 RPG,3445910
 Free To Play,3445910
Action,2384580
 RPG,2384580
 Strategy,2384580
Action,2909400
 Adventure,2909400
 RPG,2909400
Action,2651280
 Adventure,2651280
Racing,3058630
 Simulation,3058630
 Sports,3058630
 Early Access,3058630
Action,2495100
 Adventure,2495100
 Casual,2495100
 Indie,2495100
 RPG,2495100
 Simulation,2495100
Racing,2634950
 Early Access,2634950
Action,619820
 Indie,619820
 RPG,619820
Indie,690830
 Simulation,690830
 Strategy,690830
Action,2169200
 Adventure,2169200
Action,1133870
 Indie,1133870
 Simulation,1133870
 Strategy,1133870
 Early Access,1133870
Action,3287520
 Adventure,3287520
Adventure,1660080
 Casual,1660080
 Indie,1660080
 Simulation,1660080
 Early Access,1660080
Action,3059070
 Indie,3059070
Action,1245480
Action,1534840
 Adventure,1534840
 Indie,1534840
 RPG,1534840
 Early Access,1534840
Indie,516750
 Racing,516750
 Simulation,516750
Action,2273980
 Indie,2273980
 Strategy,2273980
Action,2530980
 RPG,2530980
Action,2725260
 RPG,2725260
Strategy,1426450
Free To Play,3301060
 Animation & Modeling,3301060
 Utilities,3301060
Casual,3198850
 Free To Play,3198850
Adventure,1690710
 Casual,1690710
 Indie,1690710
 RPG,1690710
 Simulation,1690710
 Strategy,1690710
 Free To Play,1690710
Indie,2994020
 Simulation,2994020
 Sports,2994020
 Free To Play,2994020
Casual,3174480
 Indie,3174480
 Simulation,3174480
 Free To Play,3174480
Action,3180210
Action,3008670
 Adventure,3008670
 Indie,3008670
Free To Play,3359730
 Animation & Modeling,3359730
 Utilities,3359730
Indie,3205310
 RPG,3205310
 Strategy,3205310
Action,3422870
 Adventure,3422870
 Indie,3422870
Casual,3380110
 Indie,3380110
 Simulation,3380110
Casual,2667120
 Indie,2667120
 Strategy,2667120
Action,2958970
RPG,2844850
Adventure,333640
 Indie,333640
 RPG,333640
 Strategy,333640
Action,2677660
 Adventure,2677660
Action,2507950
 Adventure,2507950
 Massively Multiplayer,2507950
 Free To Play,2507950
Action,2694490
 Adventure,2694490
 Massively Multiplayer,2694490
 RPG,2694490
 Early Access,2694490
Adventure,3107230
 Indie,3107230
 Massively Multiplayer,3107230
 RPG,3107230
 Early Access,3107230
Action,2521380
 Adventure,2521380
Indie,2916430
 Simulation,2916430
 Early Access,2916430
Adventure,1231560
 Indie,1231560
 RPG,1231560
Action,1887400
 Adventure,1887400
 Indie,1887400
Adventure,2527500
 Indie,2527500
 RPG,2527500
 Simulation,2527500
Casual,2460070
 Indie,2460070
Action,895400
 Adventure,895400
 Indie,895400
 Massively Multiplayer,895400
Action,2767030
 Free To Play,2767030
Action,2963880
 Adventure,2963880
 Indie,2963880
Action,1699480
 Adventure,1699480
 Indie,1699480
 Early Access,1699480
Adventure,2289720
 Casual,2289720
 Indie,2289720
 Simulation,2289720
Adventure,2353250
 Indie,2353250
 Early Access,2353250
RPG,3247080
 Free To Play,3247080
Action,3274300
 Indie,3274300
 Free To Play,3274300
Adventure,2962300
 Massively Multiplayer,2962300
 RPG,2962300
 Free To Play,2962300
Action,3174120
 Adventure,3174120
 Indie,3174120
Action,3130740
 Strategy,3130740
Indie,2604420
 Simulation,2604420
Action,3130750
 Strategy,3130750
Action,2574900
 Strategy,2574900
